  S0     S1     E      O      M     CCS    YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT   
     -  83.66  21.91  90.05  88.04  83.69    114     7.618     4     4.887     6     0.007    12.511
     -  94.10   9.57  90.05  88.07  83.69    116     7.626     4     4.887     6     0.007    12.520
     -  90.82   6.95  90.05  88.08  83.69    118     7.636     4     4.887     6     0.007    12.530
     -  85.24  97.37  90.05  88.08  83.69    119     7.641     4     4.887     6     0.007    12.534
     -  98.36  77.52  90.18  88.12  83.69    121     7.651     4     4.887     6     0.007    12.544
     -  86.33  70.23  90.18  88.12  83.69    123     7.662     4     4.887     6     0.007    12.555
     -  88.34  64.05  90.18  88.12  83.69    125     7.673     4     4.887     6     0.007    12.567
     -  95.23  58.97  90.18  88.12  83.69    127     7.686     4     4.887     6     0.007    12.579
     -  99.05  47.78  90.18  88.12  83.69    129     7.698     4     4.887     6     0.007    12.592
     -  86.38  70.93  90.14  88.12  83.69    131     7.711     4     4.887     6     0.007    12.604
     -  93.83  42.25  90.20  88.13  83.69    133     7.723     4     4.887     6     0.007    12.616
     -  90.68  51.84  90.13  88.13  83.69    135     7.737     4     4.887     6     0.007    12.630
     -  84.78  47.34  90.06  88.13  83.69    137     7.749     4     4.887     6     0.007    12.643
     -  92.14  40.35  90.11  88.13  83.69    139     7.764     4     4.887     6     0.007    12.657
     -  90.81  59.76  90.17  88.13  83.69    141     7.777     4     4.887     6     0.007    12.670
     -  95.63  53.85  90.09  88.14  83.69    143     7.790     4     4.887     6     0.007    12.683
     -  98.35  84.03  90.15  88.14  83.69    145     7.804     4     4.887     6     0.007    12.697
     -  90.11  83.40  90.21  88.14  83.69    147     7.818     4     4.887     6     0.007    12.711
     -  85.81  84.00  90.14  88.14  83.69    149     7.831     4     4.887     6     0.007    12.724
     -  96.51  39.28  90.19  88.14  83.69    151     7.844     4     4.887     6     0.007    12.738
     -  97.56  31.44  90.12  88.14  83.69    153     7.858     4     4.887     6     0.007    12.751
     -  93.01  29.41  90.18  88.14  83.69    155     7.870     4     4.887     6     0.007    12.763
     - 100.00  65.11  90.12  88.14  83.69    157     7.882     4     4.887     6     0.007    12.775
     - 100.00  89.25  90.19  88.14  83.69    159     7.893     4     4.887     6     0.007    12.787
     -  95.29  29.16  90.16  88.14  83.69    162     7.909     4     4.887     6     0.007    12.802
     -  68.58  69.55  90.14  88.14  83.69    164     7.917     4     4.887     6     0.007    12.811
     -  63.14  73.05  90.14  88.14  83.69    166     7.925     4     4.887     6     0.007    12.818
     -  67.28  22.71  90.18  88.14  83.69    169     7.930     4     4.887     6     0.007    12.824
     -  88.46   1.88  90.18  88.14  83.69    172     7.938     4     4.887     6     0.007    12.831
     -  57.41  41.34  90.18  88.14  83.69    174     7.943     4     4.887     6     0.007    12.836
     -  79.88  79.74  90.18  88.14  83.69    176     7.946     4     4.887     6     0.007    12.839
     -  82.65  83.76  90.18  88.14  83.69    178     7.951     4     4.887     6     0.007    12.844
     -  64.00  32.98  90.05  88.14  83.69    181     7.961     4     4.887     6     0.007    12.854
     -  74.04 100.00  90.05  88.14  83.69    184     7.965     4     4.887     6     0.007    12.858
     -  64.12  80.35  90.18  88.14  83.69    186     7.973     4     4.887     6     0.007    12.866
     -  38.17  27.29  90.05  88.14  83.69    189     7.979     4     4.887     6     0.007    12.873
     -  97.63  57.86  90.05  88.14  83.69    191     7.984     4     4.887     6     0.007    12.877
     -  68.41  15.66  90.05  88.14  83.69    194     7.991     4     4.887     6     0.007    12.884
     -  87.05  69.96  89.93  88.14  83.69    196     7.997     4     4.887     6     0.007    12.890
     -  67.83  61.66  89.93  88.14  83.69    199     8.006     4     4.887     6     0.007    12.899
     -  59.77  38.76  89.93  88.14  83.69    201     8.011     4     4.887     6     0.007    12.904
     -  59.77  54.13  89.93  88.14  83.69    201     8.011     4     4.887     6     0.007    12.904
     -  59.77  54.36  89.93  88.14  83.69    201     8.011     5     4.887     6     0.007    12.904
     -      -   0.00  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.00  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.00  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.22  91.13  88.24  83.76    201     8.011     5     5.928     6     0.007    13.945
     -      -   0.34  91.13  88.24  83.76    201     8.011     6     5.928     6     0.007    13.945
     -      -  66.15  91.26  88.24  83.76    201     8.011     6     6.941     6     0.007    14.959
     -  97.16  14.00  91.26  88.06  83.76    204     8.018     6     6.941     6     0.007    14.965
